age,gender,ethnicity,priors_count,charge_severity,decile_score,recidivism,country,cluster,pca1,pca2
35,Male,African-American,13,1,9,1,Nigeria,0,-46.68282486694604,-11.414853507650276
24,Male,African-American,5,1,5,1,Nigeria,0,-46.68282486694604,-11.414853507650276
35,Male,African-American,6,1,8,1,Nigeria,0,-46.68282486694604,-11.414853507650276
22,Male,African-American,1,1,6,1,Nigeria,0,-46.68282486694604,-11.414853507650276
44,Male,Hispanic,2,0,1,0,Brazil,0,-10.954484877497906,12.2286804464062
25,Male,African-American,6,1,4,1,Nigeria,0,-46.68282486694604,-11.414853507650276
34,Male,African-American,3,1,7,0,Nigeria,0,-46.68282486694604,-11.414853507650276
51,Female,Caucasian,0,0,1,0,Germany,1,43.806194382924325,0.9500192550843528
51,Male,Caucasian,6,1,3,1,Australia,1,37.21511453120613,-12.715415186841769
20,Male,African-American,3,1,8,1,Ghana,0,-39.34383608951236,-0.300683459588528
40,Male,Caucasian,0,0,1,0,Germany,1,43.806194382924325,0.9500192550843528
59,Male,African-American,15,0,6,1,Ghana,0,-39.34383608951236,-0.300683459588528
34,Male,African-American,7,0,3,0,Nigeria,0,-46.68282486694604,-11.414853507650276
27,Female,African-American,3,0,5,1,Nigeria,0,-46.68282486694604,-11.414853507650276
33,Male,Caucasian,1,1,8,1,Canada,1,35.83177757108504,-15.505969796835672
20,Female,African-American,1,1,10,0,Ghana,0,-39.34383608951236,-0.300683459588528
39,Male,Caucasian,0,1,1,0,Australia,1,37.21511453120613,-12.715415186841769
31,Male,Caucasian,10,0,8,0,Norway,1,47.786863729117535,-13.981413841687583
23,Male,African-American,3,0,5,0,Ghana,0,-39.34383608951236,-0.300683459588528
20,Male,African-American,0,1,7,1,Nigeria,0,-46.68282486694604,-11.414853507650276
24,Male,Hispanic,6,1,10,1,Spain,1,21.28767962005639,24.26151435635069
52,Male,African-American,4,0,5,0,Nigeria,0,-46.68282486694604,-11.414853507650276
25,Male,African-American,3,1,8,1,Nigeria,0,-46.68282486694604,-11.414853507650276
21,Male,African-American,1,1,9,1,Ghana,0,-39.34383608951236,-0.300683459588528
23,Male,Caucasian,0,1,5,1,Canada,1,35.83177757108504,-15.505969796835672
30,Male,Caucasian,0,1,9,1,Australia,1,37.21511453120613,-12.715415186841769
45,Female,African-American,3,1,7,0,Nigeria,0,-46.68282486694604,-11.414853507650276
46,Female,Other,1,1,2,0,Saudi Arabia,0,-2.8107724662211027,3.629875664626517
44,Female,Caucasian,1,1,1,1,Australia,1,37.21511453120613,-12.715415186841769
32,Male,African-American,5,0,2,1,Ghana,0,-39.34383608951236,-0.300683459588528
21,Male,Caucasian,1,0,4,1,Australia,1,37.21511453120613,-12.715415186841769
30,Male,Hispanic,7,1,8,1,Spain,1,21.28767962005639,24.26151435635069
32,Male,Caucasian,1,0,2,0,USA,1,25.43683117763648,-19.27406840457623
50,Male,Caucasian,1,0,2,0,Turkey,0,-1.0718220494459385,21.829144866124885
59,Male,African-American,14,1,9,1,Ghana,0,-39.34383608951236,-0.300683459588528
26,Male,African-American,5,1,4,0,Ghana,0,-39.34383608951236,-0.300683459588528
25,Male,African-American,0,0,5,1,Nigeria,0,-46.68282486694604,-11.414853507650276
20,Male,African-American,1,1,9,0,Ghana,0,-39.34383608951236,-0.300683459588528
48,Female,Caucasian,1,1,9,0,USA,1,25.43683117763648,-19.27406840457623
26,Male,Caucasian,2,1,4,0,USA,1,25.43683117763648,-19.27406840457623
26,Male,African-American,13,0,10,1,Nigeria,0,-46.68282486694604,-11.414853507650276
31,Male,African-American,6,1,4,0,Ghana,0,-39.34383608951236,-0.300683459588528
26,Male,Caucasian,1,1,3,0,USA,1,25.43683117763648,-19.27406840457623
35,Female,Caucasian,1,0,5,0,Canada,1,35.83177757108504,-15.505969796835672
30,Male,African-American,11,0,9,1,Nigeria,0,-46.68282486694604,-11.414853507650276
52,Female,African-American,2,1,1,1,Ghana,0,-39.34383608951236,-0.300683459588528
28,Male,Hispanic,0,0,2,1,Brazil,0,-10.954484877497906,12.2286804464062
20,Female,Other,1,1,4,0,Indonesia,0,-41.4182672672213,-17.70168411169513
29,Male,African-American,1,1,8,0,Nigeria,0,-46.68282486694604,-11.414853507650276
29,Male,African-American,9,1,7,1,Nigeria,0,-46.68282486694604,-11.414853507650276
27,Male,African-American,2,0,2,0,Nigeria,0,-46.68282486694604,-11.414853507650276
21,Male,Hispanic,0,0,10,1,Mexico,0,-19.49759326883606,20.541445557669004
27,Female,African-American,4,1,6,1,Ghana,0,-39.34383608951236,-0.300683459588528
30,Male,African-American,0,1,3,1,Ghana,0,-39.34383608951236,-0.300683459588528
21,Male,African-American,0,1,6,1,Ghana,0,-39.34383608951236,-0.300683459588528
29,Female,Caucasian,1,1,7,1,Germany,1,43.806194382924325,0.9500192550843528
22,Male,African-American,0,1,7,0,Nigeria,0,-46.68282486694604,-11.414853507650276
26,Male,Caucasian,2,1,5,0,USA,1,25.43683117763648,-19.27406840457623
48,Male,Caucasian,1,0,1,0,Turkey,0,-1.0718220494459385,21.829144866124885
31,Male,Other,5,1,1,0,Norway,1,47.786863729117535,-13.981413841687583
26,Male,African-American,8,1,6,0,Nigeria,0,-46.68282486694604,-11.414853507650276
57,Male,African-American,9,1,5,0,Nigeria,0,-46.68282486694604,-11.414853507650276
27,Male,African-American,4,1,4,1,Ghana,0,-39.34383608951236,-0.300683459588528
37,Male,Caucasian,4,1,3,1,Norway,1,47.786863729117535,-13.981413841687583
47,Male,Caucasian,5,0,2,0,Canada,1,35.83177757108504,-15.505969796835672
22,Male,African-American,1,1,2,0,Nigeria,0,-46.68282486694604,-11.414853507650276
23,Male,African-American,3,1,5,1,Nigeria,0,-46.68282486694604,-11.414853507650276
19,Female,African-American,0,0,8,1,Ghana,0,-39.34383608951236,-0.300683459588528
37,Female,Caucasian,1,1,1,0,Australia,1,37.21511453120613,-12.715415186841769
41,Female,African-American,0,0,1,0,Ghana,0,-39.34383608951236,-0.300683459588528
42,Female,Caucasian,1,1,3,1,Turkey,0,-1.0718220494459385,21.829144866124885
21,Male,African-American,0,1,10,1,Ghana,0,-39.34383608951236,-0.300683459588528
46,Male,Caucasian,0,0,5,0,Germany,1,43.806194382924325,0.9500192550843528
46,Male,Hispanic,0,1,1,0,Spain,1,21.28767962005639,24.26151435635069
25,Male,African-American,5,0,5,1,Ghana,0,-39.34383608951236,-0.300683459588528
30,Male,Hispanic,0,0,1,0,Mexico,0,-19.49759326883606,20.541445557669004
24,Male,African-American,1,0,5,1,Nigeria,0,-46.68282486694604,-11.414853507650276
21,Male,Caucasian,0,1,2,1,Germany,1,43.806194382924325,0.9500192550843528
25,Male,Other,24,1,10,1,Russia,0,-16.597492373513003,37.985810351285686
64,Male,African-American,13,1,6,1,Ghana,0,-39.34383608951236,-0.300683459588528
67,Male,Hispanic,0,1,1,0,Brazil,0,-10.954484877497906,12.2286804464062
21,Male,Caucasian,1,1,4,0,Germany,1,43.806194382924325,0.9500192550843528
43,Male,African-American,0,0,1,1,Ghana,0,-39.34383608951236,-0.300683459588528
26,Male,African-American,9,1,9,1,Ghana,0,-39.34383608951236,-0.300683459588528
33,Male,African-American,14,1,8,0,Nigeria,0,-46.68282486694604,-11.414853507650276
35,Male,African-American,0,0,8,1,Ghana,0,-39.34383608951236,-0.300683459588528
37,Male,African-American,11,1,4,0,Nigeria,0,-46.68282486694604,-11.414853507650276
31,Male,African-American,0,1,8,1,Nigeria,0,-46.68282486694604,-11.414853507650276
37,Male,African-American,12,0,10,0,Nigeria,0,-46.68282486694604,-11.414853507650276
35,Male,African-American,2,0,7,0,Ghana,0,-39.34383608951236,-0.300683459588528
26,Male,Hispanic,0,0,1,0,Spain,1,21.28767962005639,24.26151435635069
21,Male,Caucasian,2,0,9,1,Turkey,0,-1.0718220494459385,21.829144866124885
50,Female,Caucasian,3,1,5,0,Canada,1,35.83177757108504,-15.505969796835672
34,Female,Caucasian,0,1,3,1,Germany,1,43.806194382924325,0.9500192550843528
57,Male,African-American,8,1,5,1,Nigeria,0,-46.68282486694604,-11.414853507650276
30,Male,Hispanic,1,1,2,1,Brazil,0,-10.954484877497906,12.2286804464062
35,Male,African-American,0,1,4,0,Nigeria,0,-46.68282486694604,-11.414853507650276
39,Female,African-American,1,1,1,0,Nigeria,0,-46.68282486694604,-11.414853507650276
21,Male,Caucasian,3,1,8,1,Germany,1,43.806194382924325,0.9500192550843528
25,Female,African-American,1,1,3,0,Nigeria,0,-46.68282486694604,-11.414853507650276
32,Male,African-American,0,0,7,0,Ghana,0,-39.34383608951236,-0.300683459588528
28,Female,African-American,0,0,8,1,Ghana,0,-39.34383608951236,-0.300683459588528
50,Male,African-American,11,1,9,0,Nigeria,0,-46.68282486694604,-11.414853507650276
33,Female,Caucasian,3,1,6,1,Turkey,0,-1.0718220494459385,21.829144866124885
23,Female,African-American,0,0,7,0,Nigeria,0,-46.68282486694604,-11.414853507650276
45,Male,Hispanic,8,1,7,0,Spain,1,21.28767962005639,24.26151435635069
27,Male,Hispanic,1,0,2,0,Brazil,0,-10.954484877497906,12.2286804464062
37,Male,Native American,0,1,2,0,Mexico,0,-19.49759326883606,20.541445557669004
51,Male,Caucasian,3,1,2,0,USA,1,25.43683117763648,-19.27406840457623
42,Male,Caucasian,0,0,3,0,USA,1,25.43683117763648,-19.27406840457623
35,Male,African-American,7,1,4,0,Ghana,0,-39.34383608951236,-0.300683459588528
34,Male,African-American,3,0,1,0,Ghana,0,-39.34383608951236,-0.300683459588528
21,Male,African-American,0,1,8,1,Ghana,0,-39.34383608951236,-0.300683459588528
48,Male,Caucasian,2,0,3,0,Turkey,0,-1.0718220494459385,21.829144866124885
52,Male,Caucasian,3,0,2,0,USA,1,25.43683117763648,-19.27406840457623
32,Female,Caucasian,0,1,1,1,Turkey,0,-1.0718220494459385,21.829144866124885
33,Male,African-American,11,1,8,1,Nigeria,0,-46.68282486694604,-11.414853507650276
22,Male,African-American,0,1,5,1,Nigeria,0,-46.68282486694604,-11.414853507650276
34,Male,African-American,2,1,2,0,Nigeria,0,-46.68282486694604,-11.414853507650276
50,Male,Caucasian,0,1,1,0,Norway,1,47.786863729117535,-13.981413841687583
36,Male,Caucasian,4,0,6,0,Norway,1,47.786863729117535,-13.981413841687583
26,Male,African-American,6,0,10,1,Nigeria,0,-46.68282486694604,-11.414853507650276
23,Male,African-American,6,1,6,1,Ghana,0,-39.34383608951236,-0.300683459588528
21,Male,Hispanic,1,0,5,1,Spain,1,21.28767962005639,24.26151435635069
28,Male,African-American,6,0,6,1,Nigeria,0,-46.68282486694604,-11.414853507650276
25,Female,Caucasian,0,0,3,0,USA,1,25.43683117763648,-19.27406840457623
49,Male,Caucasian,1,1,3,0,Canada,1,35.83177757108504,-15.505969796835672
60,Male,African-American,9,1,8,0,Ghana,0,-39.34383608951236,-0.300683459588528
33,Male,Caucasian,1,1,2,0,Australia,1,37.21511453120613,-12.715415186841769
36,Male,Caucasian,0,0,1,0,Turkey,0,-1.0718220494459385,21.829144866124885
41,Male,Hispanic,1,1,2,1,Mexico,0,-19.49759326883606,20.541445557669004
24,Male,Caucasian,1,0,2,0,USA,1,25.43683117763648,-19.27406840457623
21,Male,African-American,1,0,7,1,Ghana,0,-39.34383608951236,-0.300683459588528
20,Male,African-American,0,1,8,1,Ghana,0,-39.34383608951236,-0.300683459588528
46,Male,African-American,4,1,1,0,Ghana,0,-39.34383608951236,-0.300683459588528
30,Male,African-American,14,1,7,0,Ghana,0,-39.34383608951236,-0.300683459588528
28,Female,Caucasian,3,1,8,0,Germany,1,43.806194382924325,0.9500192550843528
22,Male,African-American,2,1,7,1,Ghana,0,-39.34383608951236,-0.300683459588528
23,Male,African-American,1,1,6,1,Ghana,0,-39.34383608951236,-0.300683459588528
36,Male,African-American,9,0,8,0,Ghana,0,-39.34383608951236,-0.300683459588528
24,Male,African-American,3,1,4,1,Nigeria,0,-46.68282486694604,-11.414853507650276
27,Male,African-American,0,1,6,0,Ghana,0,-39.34383608951236,-0.300683459588528
31,Male,African-American,7,0,4,0,Ghana,0,-39.34383608951236,-0.300683459588528
24,Male,African-American,2,0,6,1,Ghana,0,-39.34383608951236,-0.300683459588528
47,Male,African-American,22,1,7,1,Nigeria,0,-46.68282486694604,-11.414853507650276
30,Male,African-American,2,1,1,0,Nigeria,0,-46.68282486694604,-11.414853507650276
47,Male,African-American,1,0,1,1,Nigeria,0,-46.68282486694604,-11.414853507650276
28,Male,African-American,16,1,8,1,Nigeria,0,-46.68282486694604,-11.414853507650276
27,Male,African-American,9,1,9,1,Ghana,0,-39.34383608951236,-0.300683459588528
44,Male,African-American,0,1,1,0,Nigeria,0,-46.68282486694604,-11.414853507650276
23,Female,African-American,0,1,3,1,Ghana,0,-39.34383608951236,-0.300683459588528
25,Male,Caucasian,4,1,4,0,USA,1,25.43683117763648,-19.27406840457623
33,Male,African-American,6,0,5,0,Ghana,0,-39.34383608951236,-0.300683459588528
26,Female,Caucasian,1,0,6,0,Canada,1,35.83177757108504,-15.505969796835672
38,Female,Caucasian,1,0,5,1,Norway,1,47.786863729117535,-13.981413841687583
21,Male,African-American,0,1,8,1,Ghana,0,-39.34383608951236,-0.300683459588528
29,Male,African-American,0,1,5,0,Nigeria,0,-46.68282486694604,-11.414853507650276
26,Male,African-American,1,1,6,1,Nigeria,0,-46.68282486694604,-11.414853507650276
27,Male,Caucasian,2,1,4,1,Germany,1,43.806194382924325,0.9500192550843528
20,Male,Other,0,1,8,1,Norway,1,47.786863729117535,-13.981413841687583
28,Male,African-American,0,0,2,1,Nigeria,0,-46.68282486694604,-11.414853507650276
38,Male,African-American,8,0,7,0,Ghana,0,-39.34383608951236,-0.300683459588528
23,Male,African-American,0,1,3,1,Nigeria,0,-46.68282486694604,-11.414853507650276
43,Male,Caucasian,0,1,9,1,Australia,1,37.21511453120613,-12.715415186841769
19,Male,Caucasian,1,1,10,1,Germany,1,43.806194382924325,0.9500192550843528
27,Female,African-American,0,0,3,0,Nigeria,0,-46.68282486694604,-11.414853507650276
54,Male,Other,0,1,1,0,Russia,0,-16.597492373513003,37.985810351285686
24,Male,African-American,1,1,4,0,Ghana,0,-39.34383608951236,-0.300683459588528
23,Male,Hispanic,3,1,6,1,Spain,1,21.28767962005639,24.26151435635069
31,Male,Caucasian,5,1,5,1,Germany,1,43.806194382924325,0.9500192550843528
53,Male,African-American,2,1,1,0,Ghana,0,-39.34383608951236,-0.300683459588528
46,Male,African-American,12,0,6,0,Nigeria,0,-46.68282486694604,-11.414853507650276
24,Male,Other,1,1,4,1,Norway,1,47.786863729117535,-13.981413841687583
26,Male,African-American,13,0,10,1,Ghana,0,-39.34383608951236,-0.300683459588528
23,Male,Caucasian,4,0,9,1,USA,1,25.43683117763648,-19.27406840457623
39,Male,African-American,1,0,2,1,Ghana,0,-39.34383608951236,-0.300683459588528
52,Male,Hispanic,5,1,3,1,Spain,1,21.28767962005639,24.26151435635069
35,Male,African-American,5,1,3,0,Nigeria,0,-46.68282486694604,-11.414853507650276
34,Male,Caucasian,1,1,7,0,Germany,1,43.806194382924325,0.9500192550843528
30,Male,Hispanic,14,1,4,1,Spain,1,21.28767962005639,24.26151435635069
40,Male,Caucasian,4,1,5,1,Australia,1,37.21511453120613,-12.715415186841769
23,Male,Caucasian,1,0,5,1,Canada,1,35.83177757108504,-15.505969796835672
39,Male,Caucasian,10,1,8,1,Turkey,0,-1.0718220494459385,21.829144866124885
49,Male,Other,7,1,3,1,Saudi Arabia,0,-2.8107724662211027,3.629875664626517
35,Female,African-American,3,0,6,1,Nigeria,0,-46.68282486694604,-11.414853507650276
20,Male,Caucasian,0,1,3,0,USA,1,25.43683117763648,-19.27406840457623
29,Male,African-American,0,0,2,0,Nigeria,0,-46.68282486694604,-11.414853507650276
57,Male,African-American,11,1,7,1,Nigeria,0,-46.68282486694604,-11.414853507650276
32,Male,Hispanic,1,1,3,0,Mexico,0,-19.49759326883606,20.541445557669004
49,Male,African-American,0,0,1,0,Ghana,0,-39.34383608951236,-0.300683459588528
22,Male,African-American,0,1,4,1,Ghana,0,-39.34383608951236,-0.300683459588528
54,Female,Caucasian,12,1,2,0,USA,1,25.43683117763648,-19.27406840457623
37,Female,Other,0,0,1,0,Norway,1,47.786863729117535,-13.981413841687583
29,Male,Caucasian,4,1,8,0,Norway,1,47.786863729117535,-13.981413841687583
26,Male,African-American,10,1,9,1,Nigeria,0,-46.68282486694604,-11.414853507650276
56,Male,Caucasian,7,1,6,1,Norway,1,47.786863729117535,-13.981413841687583
31,Female,Caucasian,0,0,2,0,USA,1,25.43683117763648,-19.27406840457623
35,Male,Hispanic,3,1,1,1,Brazil,0,-10.954484877497906,12.2286804464062
42,Male,Caucasian,3,1,4,0,Canada,1,35.83177757108504,-15.505969796835672
47,Male,Hispanic,3,0,6,1,Spain,1,21.28767962005639,24.26151435635069
66,Male,Caucasian,2,0,3,0,USA,1,25.43683117763648,-19.27406840457623
33,Male,Other,0,1,1,0,Saudi Arabia,0,-2.8107724662211027,3.629875664626517
42,Male,African-American,6,1,8,1,Ghana,0,-39.34383608951236,-0.300683459588528
42,Male,African-American,7,1,1,0,Ghana,0,-39.34383608951236,-0.300683459588528
46,Male,African-American,8,1,3,1,Nigeria,0,-46.68282486694604,-11.414853507650276
44,Male,African-American,0,0,1,0,Nigeria,0,-46.68282486694604,-11.414853507650276
27,Male,Caucasian,0,1,5,0,Canada,1,35.83177757108504,-15.505969796835672
23,Male,African-American,0,1,5,0,Nigeria,0,-46.68282486694604,-11.414853507650276
24,Male,Other,0,1,3,0,Russia,0,-16.597492373513003,37.985810351285686
34,Male,African-American,6,1,8,1,Nigeria,0,-46.68282486694604,-11.414853507650276
21,Male,Hispanic,0,1,10,0,Spain,1,21.28767962005639,24.26151435635069
27,Male,Other,2,0,2,1,Saudi Arabia,0,-2.8107724662211027,3.629875664626517
34,Male,African-American,3,1,6,1,Ghana,0,-39.34383608951236,-0.300683459588528
22,Male,African-American,0,1,3,1,Ghana,0,-39.34383608951236,-0.300683459588528
39,Male,Caucasian,1,1,1,0,USA,1,25.43683117763648,-19.27406840457623
24,Male,Other,5,1,6,0,Russia,0,-16.597492373513003,37.985810351285686
45,Male,African-American,0,1,4,1,Ghana,0,-39.34383608951236,-0.300683459588528
32,Female,Caucasian,2,1,2,1,Canada,1,35.83177757108504,-15.505969796835672
27,Male,African-American,1,1,7,0,Ghana,0,-39.34383608951236,-0.300683459588528
29,Male,African-American,10,0,10,1,Ghana,0,-39.34383608951236,-0.300683459588528
37,Female,African-American,3,1,7,0,Ghana,0,-39.34383608951236,-0.300683459588528
24,Male,Caucasian,8,1,9,0,Germany,1,43.806194382924325,0.9500192550843528
20,Male,Other,1,1,10,1,Russia,0,-16.597492373513003,37.985810351285686
39,Female,African-American,1,1,7,1,Ghana,0,-39.34383608951236,-0.300683459588528
25,Male,Hispanic,2,0,3,1,Spain,1,21.28767962005639,24.26151435635069
22,Male,African-American,0,1,3,0,Nigeria,0,-46.68282486694604,-11.414853507650276
44,Female,Caucasian,0,0,1,0,Norway,1,47.786863729117535,-13.981413841687583
20,Male,Native American,1,1,9,1,USA,1,25.43683117763648,-19.27406840457623
53,Male,African-American,5,0,2,0,Nigeria,0,-46.68282486694604,-11.414853507650276
23,Male,Caucasian,0,1,4,0,Canada,1,35.83177757108504,-15.505969796835672
33,Male,African-American,23,1,9,1,Ghana,0,-39.34383608951236,-0.300683459588528
27,Male,Hispanic,6,1,6,0,Mexico,0,-19.49759326883606,20.541445557669004
26,Male,African-American,15,1,9,0,Ghana,0,-39.34383608951236,-0.300683459588528
37,Female,African-American,23,0,8,1,Ghana,0,-39.34383608951236,-0.300683459588528
26,Female,African-American,0,0,4,0,Ghana,0,-39.34383608951236,-0.300683459588528
28,Male,African-American,5,1,5,1,Nigeria,0,-46.68282486694604,-11.414853507650276
43,Male,African-American,4,1,1,1,Nigeria,0,-46.68282486694604,-11.414853507650276
27,Male,African-American,9,1,7,1,Ghana,0,-39.34383608951236,-0.300683459588528
20,Male,African-American,0,1,4,1,Nigeria,0,-46.68282486694604,-11.414853507650276
25,Female,African-American,5,1,7,0,Nigeria,0,-46.68282486694604,-11.414853507650276
24,Male,African-American,1,0,7,0,Nigeria,0,-46.68282486694604,-11.414853507650276
27,Male,African-American,2,0,9,0,Nigeria,0,-46.68282486694604,-11.414853507650276
39,Male,Caucasian,0,1,3,0,Australia,1,37.21511453120613,-12.715415186841769
42,Male,Hispanic,1,1,1,1,Brazil,0,-10.954484877497906,12.2286804464062
39,Male,African-American,0,0,3,0,Ghana,0,-39.34383608951236,-0.300683459588528
56,Male,African-American,3,0,2,1,Ghana,0,-39.34383608951236,-0.300683459588528
26,Male,Caucasian,1,1,4,1,Turkey,0,-1.0718220494459385,21.829144866124885
34,Male,Caucasian,5,0,4,0,Australia,1,37.21511453120613,-12.715415186841769
37,Male,African-American,12,1,9,1,Ghana,0,-39.34383608951236,-0.300683459588528
36,Male,African-American,14,1,10,1,Nigeria,0,-46.68282486694604,-11.414853507650276
23,Male,African-American,1,0,4,0,Ghana,0,-39.34383608951236,-0.300683459588528
31,Male,African-American,1,1,6,0,Nigeria,0,-46.68282486694604,-11.414853507650276
22,Male,Hispanic,1,0,7,1,Mexico,0,-19.49759326883606,20.541445557669004
55,Male,African-American,1,1,1,0,Ghana,0,-39.34383608951236,-0.300683459588528
45,Male,Other,0,0,1,0,Russia,0,-16.597492373513003,37.985810351285686
27,Male,Caucasian,13,1,5,1,Australia,1,37.21511453120613,-12.715415186841769
24,Male,African-American,1,0,6,1,Nigeria,0,-46.68282486694604,-11.414853507650276
66,Male,Caucasian,0,0,1,0,Canada,1,35.83177757108504,-15.505969796835672
46,Female,Caucasian,1,1,2,0,USA,1,25.43683117763648,-19.27406840457623
32,Male,African-American,1,1,2,0,Ghana,0,-39.34383608951236,-0.300683459588528
43,Male,African-American,15,0,9,1,Ghana,0,-39.34383608951236,-0.300683459588528
31,Male,Caucasian,7,0,3,0,Germany,1,43.806194382924325,0.9500192550843528
33,Male,African-American,0,1,10,1,Nigeria,0,-46.68282486694604,-11.414853507650276
22,Male,African-American,1,0,7,1,Nigeria,0,-46.68282486694604,-11.414853507650276
21,Male,African-American,1,0,4,1,Ghana,0,-39.34383608951236,-0.300683459588528
44,Male,Hispanic,0,0,1,0,Mexico,0,-19.49759326883606,20.541445557669004
46,Male,Hispanic,15,1,6,0,Mexico,0,-19.49759326883606,20.541445557669004
24,Male,African-American,2,1,6,1,Ghana,0,-39.34383608951236,-0.300683459588528
29,Male,Other,6,1,4,1,Russia,0,-16.597492373513003,37.985810351285686
29,Male,African-American,16,1,10,1,Ghana,0,-39.34383608951236,-0.300683459588528
37,Male,African-American,4,0,7,1,Ghana,0,-39.34383608951236,-0.300683459588528
38,Male,African-American,0,1,5,0,Nigeria,0,-46.68282486694604,-11.414853507650276
39,Male,Caucasian,0,1,3,0,Norway,1,47.786863729117535,-13.981413841687583
27,Male,Hispanic,2,0,4,0,Mexico,0,-19.49759326883606,20.541445557669004
27,Male,African-American,9,1,7,1,Nigeria,0,-46.68282486694604,-11.414853507650276
24,Male,African-American,1,1,3,1,Nigeria,0,-46.68282486694604,-11.414853507650276
24,Female,African-American,0,1,7,0,Nigeria,0,-46.68282486694604,-11.414853507650276
55,Female,Caucasian,0,0,1,0,Australia,1,37.21511453120613,-12.715415186841769
21,Male,African-American,1,0,4,0,Ghana,0,-39.34383608951236,-0.300683459588528
